Index,Link,Playlist ID,Essential/Optional (E/O),
Exercise 3,/e/multiplying_fractions/,,E,
Video 6,/v/creating-a-fraction-through-division-of-whole-numbers/,,E,
Video 7,/v/my-share-of-soap-as-a-mixed-number-on-a-number-line/,,E,
Video 8,/v/dividing-a-whole-number-by-a-fraction-word-problem/,,E,
Video 9,/v/dividing-a-fraction-by-a-whole-number-word-problem/,,E,
video 10,/v/dividing-fractions-word-problem/,,E,
Video11,/v/dividing-fractions/,,E,
Video 12,/v/dividing-fractions-example/,,E,
Video 13,/e/dividing_fractions_0.5/,,E,
Exercise 4,/e/dividing_fractions/,,E,
Exercise 5,/e/dividing_fractions_2/,,E,
Video 14,/v/multiplying-fractions-word-problem-2/,,E,
Video 15,/v/multiplying-fractions-word-problem-3/,,E,
Video 16,/v/multiplying-fractions-word-problem-1/,,E,
Video 17,/v/multiplying-fractions-word-problem/,,E,
Video 18,/v/multiplying-fractions-word-problem-4/,,E,
Video 19,/v/multiplying-fractions-word-problem-5/,,E,
,,,,
,Unit Test 4,"g5_p13, g5_p14",2,
Playlist 15 - Mixed fractions and improper fractions,,g5_p15,,
,,,,
,Subtitle: week 20,,,
Video 1,/v/comparing-improper-fractions-and-mixed-numbers/,,E,
Video 2,/v/mixed-numbers-and-improper-fractions/,,E,
Video 3,/v/proper-and-improper-fractions/,,E,
Video 4,/v/converting-mixed-numbers-to-improper-fractions/,,E,
Video 5,/v/changing-a-mixed-number-to-an-improper-fraction/,,E,
Video 6,/v/changing-an-improper-fraction-to-a-mixed-number/,,E,
Video 7,/v/postive-improper-fractions-on-the-number-line/,,E,
Video 8,/v/ordering-improper-fractions-and-mixed-numbers/,,E,
Video 9,/v/fractions-cut-and-copy-2-exercise-example/,,E,
Video 10,/v/points-on-a-number-line/,,E,
Exercise 1,/e/converting_mixed_numbers_and_improper_fractions/,,E,
Exercise 2,/e/fractions_on_the_number_line_2/,,E,
Exercise 3,/e/comparing_improper_fractions_and_mixed_numbers/,,E,
Exercise 4,/e/ordering_improper_fractions_and_mixed_numbers/,,E,
Exercise 5,/e/fractions_cut_and_copy_2/,,E,
Exercise 6,/e/fractions_on_the_number_line_3/,,E,
,Quiz  9,g5_p15_q9,,
,,,,
"Playlist 16- Mixed fractions and improper fractions- addition, subtraction, multiplication and division",,g5_p16,,
,Subtitle: Week 21,,,
Video 1,/v/adding-mixed-numbers/,,E,
Video 2,/v/adding-mixed-numbers-with-unlike-denominators/,,E,
Video 3,/v/adding-mixed-numbers-word-problem/,,E,
Video 4,/v/subtracting-mixed-numbers/,,E,
Video 5,/v/subtracting-mixed-numbers-2/,,E,
Video 6,/v/subtracting-mixed-numbers-word-problem/,,E,
Video 7,/v/adding-subtracting-mixed-numbers-0-5--ex-1/,,E,
Video 8,/v/adding-subtracting-mixed-numbers-0-5--ex-2/,,E,
Video 9,/v/adding-subtracting-mixed-numbers-1--ex-1/,,E,
Video 10,/v/adding-subtracting-mixed-numbers-1--ex-2/,,E,
Exercise 1,e/adding_subtracting_mixed_numbers_0.5/,,E,
Exercise 2,e/adding_subtracting_mixed_numbers_1/,,E,
Video 13,/v/multiplying-fractions-and-mixed-numbers/,,E,
Video 14,/v/multiplying--mixed-numbers/,,E,
Exercise 3,/e/multiplying_mixed_numbers_1/,,E,
,Quiz 10,g5_p16_q10,,
,,,,
"Playlist 17 - Conceptualizing decimals and place notation, decimals and fractions, regrouping and comparing",,g5_p17,,
,,,,
,Subtitle : Week 22,,,
Video 1,/v/decimal_place_value/,,E,
Video 2,/v/decimal-place-value-2/,,E,
Video 3,/v/writing-out-a-decimal-in-words/,,E,
Video 4,/v/expanding-out-a-decimal-by-place-value/,,E,
Video 5,/v/writing-a-decimal-to-represent-a-quantity/,,E,
Video 6,/v/comparing-place-values-in-decimals/,,E,
Video 7,/v/understanding-decimal-place-value-exercise/,,E,
Exercise 1,/e/understanding_decimals_place_value/,,E,
,,,,
,,,,
,,,,
"Playlist 18 - Decimal operations- addition, subtraction and multiplication of decimals 
",,g5_p18,,
,,,,
,Subtitle : Week 23,,,
Video 1,/v/adding-decimals-example-1,,E,
Video 2,/v/adding-decimals-example-2/,,E,
Video 3,/v/adding-decimals/,,E,
Video 4,/v/subtracting-decimals/,,E,
Video 5,/v/adding-decimals-word-problem/,,E,
Video 6,/v/subtracting-decimals-word-problem/,,E,
Video 7,/v/subtracting-decimals--old/,,E,
Exercise 1,/e/adding_decimals_0.5/,,E,
